Pointing,Gl,Gb,RA,Dec
MSGPS_S_0068,-77.980510085957,-0.8560565580690108,10:07:59.93,-56:56:17.19
MSGPS_S_0069,-78.12475936553149,-0.6062094768907669,10:08:12.25,-56:39:3.56
MSGPS_S_0070,-77.980510085957,-0.35636239571252304,10:10:6.56,-56:31:50.71
MSGPS_S_0071,-78.12475936553149,-0.1065153145342792,10:10:17.79,-56:14:36.31
MSGPS_S_0072,-77.980510085957,0.14333176664396485,10:12:10.48,-56:07:16.34
MSGPS_S_0073,-78.12475936553149,0.3931788478222087,10:12:20.68,-55:50:1.28
MSGPS_S_0074,-77.980510085957,0.6430259290004525,10:14:11.79,-55:42:34.39
MSGPS_S_0075,-78.12475936553149,0.8928730101786966,10:14:20.99,-55:25:18.76
MSGPS_S_0076,-77.980510085957,1.1427200913569402,10:16:10.56,-55:17:45.12
MSGPS_S_0077,-77.69201152680799,-1.3557507204254986,10:07:34.68,-57:30:44.15
MSGPS_S_0078,-77.83626080638248,-1.1059036392472548,10:07:47.41,-57:13:30.72
MSGPS_S_0079,-77.69201152680799,-0.8560565580690108,10:09:43.56,-57:06:19.27
MSGPS_S_0080,-77.83626080638248,-0.6062094768907669,10:09:55.15,-56:49:5.03
MSGPS_S_0081,-77.69201152680799,-0.35636239571252304,10:11:49.63,-56:41:46.31
MSGPS_S_0082,-77.83626080638248,-0.1065153145342792,10:12:0.14,-56:24:31.36
MSGPS_S_0083,-77.69201152680799,0.14333176664396485,10:13:52.99,-56:17:5.57
MSGPS_S_0084,-77.83626080638248,0.3931788478222087,10:14:2.46,-55:59:50.0
MSGPS_S_0085,-77.69201152680799,0.6430259290004525,10:15:53.71,-55:52:17.32
MSGPS_S_0086,-77.83626080638248,0.8928730101786966,10:16:2.19,-55:35:1.23
MSGPS_S_0087,-77.69201152680799,1.1427200913569402,10:17:51.88,-55:27:21.85
MSGPS_S_0088,-77.40351296765898,-1.3557507204254986,10:09:19.81,-57:40:47.47
MSGPS_S_0089,-77.54776224723348,-1.1059036392472548,10:09:31.78,-57:23:33.42
MSGPS_S_0090,-77.40351296765898,-0.8560565580690108,10:11:28.12,-57:16:16.02
MSGPS_S_0091,-77.54776224723348,-0.6062094768907669,10:11:38.96,-56:59:1.2
MSGPS_S_0092,-77.40351296765898,-0.35636239571252304,10:13:33.61,-56:51:36.58
MSGPS_S_0093,-77.54776224723348,-0.1065153145342792,10:13:43.37,-56:34:21.1
MSGPS_S_0094,-77.40351296765898,0.14333176664396485,10:15:36.37,-56:26:49.44
MSGPS_S_0095,-77.54776224723348,0.3931788478222087,10:15:45.1,-56:09:33.4
MSGPS_S_0096,-77.40351296765898,0.6430259290004525,10:17:36.48,-56:01:54.9
MSGPS_S_0097,-77.54776224723348,0.8928730101786966,10:17:44.23,-55:44:38.38
MSGPS_S_0098,-77.40351296765898,1.1427200913569402,10:19:34.03,-55:36:53.23
MSGPS_S_0099,-77.11501440850998,-1.3557507204254986,10:11:5.9,-57:50:45.4
MSGPS_S_0100,-77.25926368808447,-1.1059036392472548,10:11:17.1,-57:33:30.75
MSGPS_S_0101,-77.11501440850998,-0.8560565580690108,10:13:13.62,-57:26:7.36
MSGPS_S_0102,-77.25926368808447,-0.6062094768907669,10:13:23.7,-57:08:52.0
MSGPS_S_0103,-77.11501440850998,-0.35636239571252304,10:15:18.5,-57:01:21.42
MSGPS_S_0104,-77.25926368808447,-0.1065153145342792,10:15:27.5,-56:44:5.46
MSGPS_S_0105,-77.11501440850998,0.14333176664396485,10:17:20.63,-56:36:27.89
MSGPS_S_0106,-77.25926368808447,0.3931788478222087,10:17:28.61,-56:19:11.41
MSGPS_S_0107,-77.11501440850998,0.6430259290004525,10:19:20.11,-56:11:27.05
MSGPS_S_0108,-77.25926368808447,0.8928730101786966,10:19:27.11,-55:54:10.14
MSGPS_S_0109,-77.11501440850998,1.1427200913569402,10:21:17.0,-55:46:19.16
MSGPS_S_0110,-76.82651584936099,-1.3557507204254986,10:12:52.96,-58:00:37.84
MSGPS_S_0111,-76.97076512893548,-1.1059036392472548,10:13:3.38,-57:43:22.64
MSGPS_S_0112,-76.82651584936099,-0.8560565580690108,10:15:0.06,-57:35:53.2
MSGPS_S_0113,-76.97076512893548,-0.6062094768907669,10:15:9.36,-57:18:37.34
MSGPS_S_0114,-76.82651584936099,-0.35636239571252304,10:17:4.31,-57:11:0.77
MSGPS_S_0115,-76.97076512893548,-0.1065153145342792,10:17:12.53,-56:53:44.35
MSGPS_S_0116,-76.82651584936099,0.14333176664396485,10:19:5.79,-56:46:0.84
MSGPS_S_0117,-76.97076512893548,0.3931788478222087,10:19:13.0,-56:28:43.95
MSGPS_S_0118,-76.82651584936099,0.6430259290004525,10:21:4.6,-56:20:53.69
MSGPS_S_0119,-76.97076512893548,0.8928730101786966,10:21:10.84,-56:03:36.43
MSGPS_S_0120,-76.82651584936099,1.1427200913569402,10:23:0.82,-55:55:39.59
MSGPS_S_0121,-76.53801729021198,-1.3557507204254986,10:14:40.99,-58:10:24.72
MSGPS_S_0122,-76.68226656978648,-1.1059036392472548,10:14:50.61,-57:53:9.0
MSGPS_S_0123,-76.53801729021198,-0.8560565580690108,10:16:47.45,-57:45:33.47
MSGPS_S_0124,-76.68226656978648,-0.6062094768907669,10:16:55.95,-57:28:17.15
MSGPS_S_0125,-76.53801729021198,-0.35636239571252304,10:18:51.03,-57:20:34.53
MSGPS_S_0126,-76.68226656978648,-0.1065153145342792,10:18:58.47,-57:03:17.7
MSGPS_S_0127,-76.53801729021198,0.14333176664396485,10:20:51.83,-56:55:28.19
MSGPS_S_0128,-76.68226656978648,0.3931788478222087,10:20:58.26,-56:38:10.95
MSGPS_S_0129,-76.53801729021198,0.6430259290004525,10:22:49.95,-56:30:14.74
MSGPS_S_0130,-76.68226656978648,0.8928730101786966,10:22:55.42,-56:12:57.16
MSGPS_S_0131,-76.53801729021198,1.1427200913569402,10:24:45.47,-56:04:54.43
MSGPS_S_0132,-76.24951873106298,-1.3557507204254986,10:16:30.01,-58:20:5.95
MSGPS_S_0133,-76.39376801063747,-1.1059036392472548,10:16:38.8,-58:02:49.74
MSGPS_S_0134,-76.24951873106298,-0.8560565580690108,10:18:35.79,-57:55:8.08
MSGPS_S_0135,-76.39376801063747,-0.6062094768907669,10:18:43.47,-57:37:51.33
MSGPS_S_0136,-76.24951873106298,-0.35636239571252304,10:20:38.67,-57:30:2.63
MSGPS_S_0137,-76.39376801063747,-0.1065153145342792,10:20:45.31,-57:12:45.42
MSGPS_S_0138,-76.24951873106298,0.14333176664396485,10:22:38.77,-57:04:49.88
MSGPS_S_0139,-76.39376801063747,0.3931788478222087,10:22:44.4,-56:47:32.31
MSGPS_S_0140,-76.24951873106298,0.6430259290004525,10:24:36.18,-56:39:30.12
MSGPS_S_0141,-76.39376801063747,0.8928730101786966,10:24:40.86,-56:22:12.27
MSGPS_S_0142,-76.24951873106298,1.1427200913569402,10:26:30.97,-56:14:3.6
MSGPS_S_0143,-75.96102017191397,-1.3557507204254986,10:18:20.01,-58:29:41.43
MSGPS_S_0144,-76.10526945148847,-1.1059036392472548,10:18:27.97,-58:12:24.78
MSGPS_S_0145,-75.96102017191397,-0.8560565580690108,10:20:25.08,-58:04:36.94
MSGPS_S_0146,-76.10526945148847,-0.6062094768907669,10:20:31.93,-57:47:19.8
MSGPS_S_0147,-75.96102017191397,-0.35636239571252304,10:22:27.25,-57:39:24.98
MSGPS_S_0148,-76.10526945148847,-0.1065153145342792,10:22:33.06,-57:22:7.44
MSGPS_S_0149,-75.96102017191397,0.14333176664396485,10:24:26.61,-57:14:5.82
MSGPS_S_0150,-76.10526945148847,0.3931788478222087,10:24:31.43,-56:56:47.97
MSGPS_S_0151,-75.96102017191397,0.6430259290004525,10:26:23.27,-56:48:39.75
MSGPS_S_0152,-76.10526945148847,0.8928730101786966,10:26:27.15,-56:31:21.67
MSGPS_S_0153,-75.96102017191397,1.1427200913569402,10:28:17.32,-56:23:7.03
MSGPS_S_0154,-75.67252161276497,-1.3557507204254986,10:20:11.01,-58:39:11.08
MSGPS_S_0155,-75.81677089233946,-1.1059036392472548,10:20:18.11,-58:21:54.04
MSGPS_S_0156,-75.67252161276497,-0.8560565580690108,10:22:15.34,-58:13:59.97
MSGPS_S_0157,-75.81677089233946,-0.6062094768907669,10:22:21.34,-57:56:42.49
MSGPS_S_0158,-75.67252161276497,-0.35636239571252304,10:24:16.75,-57:48:41.49
MSGPS_S_0159,-75.81677089233946,-0.1065153145342792,10:24:21.72,-57:31:23.66
MSGPS_S_0160,-75.67252161276497,0.14333176664396485,10:26:15.36,-57:23:15.92
MSGPS_S_0161,-75.81677089233946,0.3931788478222087,10:26:19.34,-57:05:57.84
MSGPS_S_0162,-75.67252161276497,0.6430259290004525,10:28:11.25,-56:57:43.55
MSGPS_S_0163,-75.81677089233946,0.8928730101786966,10:28:14.3,-56:40:25.29
MSGPS_S_0164,-75.67252161276497,1.1427200913569402,10:30:4.51,-56:32:4.64
MSGPS_S_0165,-75.38402305361596,-1.3557507204254986,10:22:3.0,-58:48:34.81
MSGPS_S_0166,-75.52827233319046,-1.1059036392472548,10:22:9.22,-58:31:17.41
MSGPS_S_0167,-75.38402305361596,-0.8560565580690108,10:24:6.56,-58:23:17.07
MSGPS_S_0168,-75.52827233319046,-0.6062094768907669,10:24:11.7,-58:05:59.29
MSGPS_S_0169,-75.38402305361596,-0.35636239571252304,10:26:7.2,-57:57:52.08
MSGPS_S_0170,-75.52827233319046,-0.1065153145342792,10:26:11.31,-57:40:34.01
MSGPS_S_0171,-75.38402305361596,0.14333176664396485,10:28:5.01,-57:32:20.11
MSGPS_S_0172,-75.52827233319046,0.3931788478222087,10:28:8.15,-57:15:1.83
MSGPS_S_0173,-75.38402305361596,0.6430259290004525,10:30:0.1,-57:06:41.45
MSGPS_S_0174,-75.52827233319046,0.8928730101786966,10:30:2.32,-56:49:23.04
MSGPS_S_0175,-75.38402305361596,1.1427200913569402,10:31:52.55,-56:40:56.35
MSGPS_S_0176,-75.09552449446696,-1.3557507204254986,10:23:55.99,-58:57:52.53
MSGPS_S_0177,-75.23977377404145,-1.1059036392472548,10:24:1.33,-58:40:34.82
MSGPS_S_0178,-75.09552449446696,-0.8560565580690108,10:25:58.75,-58:32:28.17
MSGPS_S_0179,-75.23977377404145,-0.6062094768907669,10:26:3.01,-58:15:10.14
MSGPS_S_0180,-75.09552449446696,-0.35636239571252304,10:27:58.58,-58:06:56.67
MSGPS_S_0181,-75.23977377404145,-0.1065153145342792,10:28:1.82,-57:49:38.39
MSGPS_S_0182,-75.09552449446696,0.14333176664396485,10:29:55.57,-57:41:18.3
MSGPS_S_0183,-75.23977377404145,0.3931788478222087,10:29:57.85,-57:23:59.87
MSGPS_S_0184,-75.09552449446696,0.6430259290004525,10:31:49.83,-57:15:33.35
MSGPS_S_0185,-75.23977377404145,0.8928730101786966,10:31:51.2,-56:58:14.84
MSGPS_S_0186,-75.09552449446696,1.1427200913569402,10:33:41.45,-56:49:42.07
MSGPS_S_0187,-74.80702593531797,-1.3557507204254986,10:25:49.99,-59:07:4.15
MSGPS_S_0188,-74.95127521489246,-1.1059036392472548,10:25:54.41,-58:49:46.18
MSGPS_S_0189,-74.80702593531797,-0.8560565580690108,10:27:51.92,-58:41:33.17
MSGPS_S_0190,-74.95127521489246,-0.6062094768907669,10:27:55.28,-58:24:14.93
MSGPS_S_0191,-74.80702593531797,-0.35636239571252304,10:29:50.9,-58:15:55.16
MSGPS_S_0192,-74.95127521489246,-0.1065153145342792,10:29:53.25,-57:58:36.73
MSGPS_S_0193,-74.80702593531797,0.14333176664396485,10:31:47.04,-57:50:10.41
MSGPS_S_0194,-74.95127521489246,0.3931788478222087,10:31:48.44,-57:32:51.88
MSGPS_S_0195,-74.80702593531797,0.6430259290004525,10:33:40.44,-57:24:19.18
MSGPS_S_0196,-74.95127521489246,0.8928730101786966,10:33:40.94,-57:07:0.62
MSGPS_S_0197,-74.80702593531797,1.1427200913569402,10:35:31.2,-56:58:21.74
MSGPS_S_0198,-74.51852737616896,-1.3557507204254986,10:27:45.0,-59:16:9.57
MSGPS_S_0199,-74.66277665574346,-1.1059036392472548,10:27:48.49,-58:58:51.38
MSGPS_S_0200,-74.51852737616896,-0.8560565580690108,10:29:46.06,-58:50:31.97
MSGPS_S_0201,-74.66277665574346,-0.6062094768907669,10:29:48.5,-58:33:13.57
MSGPS_S_0202,-74.51852737616896,-0.35636239571252304,10:31:44.17,-58:24:47.47
MSGPS_S_0203,-74.66277665574346,-0.1065153145342792,10:31:45.61,-58:07:28.94
MSGPS_S_0204,-74.51852737616896,0.14333176664396485,10:33:39.42,-57:58:56.34
MSGPS_S_0205,-74.66277665574346,0.3931788478222087,10:33:39.93,-57:41:37.76
MSGPS_S_0206,-74.51852737616896,0.6430259290004525,10:35:31.94,-57:32:58.86
MSGPS_S_0207,-74.66277665574346,0.8928730101786966,10:35:31.56,-57:15:40.29
MSGPS_S_0208,-74.51852737616896,1.1427200913569402,10:37:21.8,-57:06:55.26
MSGPS_S_0209,-74.23002881701996,-1.3557507204254986,10:29:41.02,-59:25:8.7
MSGPS_S_0210,-74.37427809659445,-1.1059036392472548,10:29:43.57,-59:07:50.35
MSGPS_S_0211,-74.23002881701996,-0.8560565580690108,10:31:41.18,-58:59:24.5
MSGPS_S_0212,-74.37427809659445,-0.6062094768907669,10:31:42.69,-58:42:5.99
MSGPS_S_0213,-74.23002881701996,-0.35636239571252304,10:33:38.38,-58:33:33.51
MSGPS_S_0214,-74.37427809659445,-0.1065153145342792,10:33:38.91,-58:16:14.93
MSGPS_S_0215,-74.23002881701996,0.14333176664396485,10:35:32.72,-58:07:36.02
MSGPS_S_0216,-74.37427809659445,0.3931788478222087,10:35:32.32,-57:50:17.44
MSGPS_S_0217,-74.23002881701996,0.6430259290004525,10:37:24.32,-57:41:32.29
MSGPS_S_0218,-74.37427809659445,0.8928730101786966,10:37:23.04,-57:24:13.77
MSGPS_S_0219,-74.23002881701996,1.1427200913569402,10:39:13.26,-57:15:22.57
