name,ra,dec,tags,type,duration
MSGPS_S_0473,11:21:09.97,-62:25:10.17,['target'],track,1257
MSGPS_S_0572,11:42:50.01,-63:12:18.49,['target'],track,1257
MSGPS_S_0671,12:05:32.01,-63:46:37,['target'],track,1257
MSGPS_S_0781,12:31:36.69,-64:08:39.54,['target'],track,1257
MSGPS_S_0847,12:47:29.54,-64:13:27.17,['target'],track,1257
MSGPS_S_0904,13:00:35.49,-63:42:35.25,['target'],track,1257
MSGPS_S_1023,13:29:39.65,-63:54:58.81,['target'],track,1257
MSGPS_S_1156,13:58:18.09,-62:59:57.47,['target'],track,1257
MSGPS_S_1353,14:42:12.01,-61:26:04.86,['target'],track,1257
MSGPS_S_1562,15:20:52.45,-58:48:20.36,['target'],track,1257
MSGPS_S_1793,15:56:42.49,-55:12:09.6,['target'],track,1257
MSGPS_S_1958,16:18:23.18,-52:17:35.26,['target'],track,1257
MSGPS_S_0021,10:07:56.27,-54:28:23.65,['target'],track,1257
MSGPS_S_0023,09:59:19.5,-56:21:59.7,['target'],track,1257
MSGPS_S_0024,10:01:14.57,-56:15:17.25,['target'],track,1257
MSGPS_S_0025,10:01:29.66,-55:58:06.37,['target'],track,1257
MSGPS_S_0094,10:15:36.37,-56:26:49.44,['target'],track,1257
MSGPS_S_0195,10:33:40.44,-57:24:19.18,['target'],track,1257
MSGPS_S_0274,10:48:43.42,-57:56:02.87,['target'],track,1257
MSGPS_S_0385,11:02:56.25,-61:33:21.32,['target'],track,1257
MSGPS_S_0474,11:20:44.2,-62:08:07.32,['target'],track,1257
MSGPS_S_0573,11:42:11.21,-62:55:33.97,['target'],track,1257
MSGPS_S_0672,12:04:39.45,-63:30:19.23,['target'],track,1257
MSGPS_S_0782,12:30:28.77,-63:53:01.84,['target'],track,1257
MSGPS_S_0848,12:46:12.77,-63:58:18.61,['target'],track,1257
MSGPS_S_0913,13:03:24.21,-64:11:50.09,['target'],track,1257
MSGPS_S_1024,13:28:02.42,-63:41:23.93,['target'],track,1257
MSGPS_S_1157,13:58:57.61,-62:43:14.72,['target'],track,1257
MSGPS_S_1354,14:40:14.86,-61:15:57.63,['target'],track,1257
MSGPS_S_1563,15:18:54.13,-58:40:20.54,['target'],track,1257
MSGPS_S_1794,15:54:48.71,-55:06:12.3,['target'],track,1257
MSGPS_S_1969,16:19:43.75,-52:05:27.82,['target'],track,1257
MSGPS_S_0026,10:03:23.17,-55:51:16.48,['target'],track,1257
MSGPS_S_0027,10:03:37.16,-55:34:04.64,['target'],track,1257
MSGPS_S_0028,10:05:29.14,-55:27:07.51,['target'],track,1257
MSGPS_S_0029,10:05:42.08,-55:09:54.81,['target'],track,1257
MSGPS_S_0095,10:15:45.1,-56:09:33.4,['target'],track,1257
MSGPS_S_0196,10:33:40.94,-57:07:00.62,['target'],track,1257
MSGPS_S_0275,10:41:38.58,-60:16:46.15,['target'],track,1257
MSGPS_S_0386,11:02:41.08,-61:16:08.51,['target'],track,1257
MSGPS_S_0475,11:22:37.1,-61:56:57.79,['target'],track,1257
MSGPS_S_0574,11:43:58.7,-62:43:21.63,['target'],track,1257
MSGPS_S_0673,12:06:19.26,-63:17:06.06,['target'],track,1257
MSGPS_S_0783,12:31:57.47,-63:38:45.88,['target'],track,1257
MSGPS_S_0849,12:47:33.7,-63:43:28.47,['target'],track,1257
MSGPS_S_0914,13:01:59.12,-63:57:14.19,['target'],track,1257
MSGPS_S_1025,13:29:00.04,-63:25:19.32,['target'],track,1257
MSGPS_S_1166,14:02:34.12,-63:07:33.89,['target'],track,1257
MSGPS_S_1355,14:40:29.75,-60:58:44.68,['target'],track,1257
MSGPS_S_1564,15:18:48.87,-58:23:02.8,['target'],track,1257
MSGPS_S_1795,15:54:28.48,-54:49:08.46,['target'],track,1257
MSGPS_S_1980,16:21:03.6,-51:53:17.06,['target'],track,1257
MSGPS_S_0030,10:07:32.56,-55:02:50.62,['target'],track,1257
MSGPS_S_0031,10:07:44.5,-54:45:37.16,['target'],track,1257
MSGPS_S_0032,10:09:33.51,-54:38:26.08,['target'],track,1257
MSGPS_S_0033,10:00:43.67,-56:49:38.56,['target'],track,1257
MSGPS_S_0096,10:17:36.48,-56:01:54.9,['target'],track,1257
MSGPS_S_0197,10:35:31.2,-56:58:21.74,['target'],track,1257
MSGPS_S_0276,10:41:35.05,-59:59:27.95,['target'],track,1257
MSGPS_S_0387,11:04:36.97,-61:05:54.92,['target'],track,1257
MSGPS_S_0476,11:22:10.91,-61:39:55.94,['target'],track,1257
MSGPS_S_0575,11:43:19.88,-62:26:38.27,['target'],track,1257
MSGPS_S_0674,12:05:27.14,-63:00:49.35,['target'],track,1257
MSGPS_S_0784,12:30:50.53,-63:23:08.79,['target'],track,1257
MSGPS_S_0850,12:46:18.22,-63:28:20.08,['target'],track,1257
MSGPS_S_0915,13:03:11.64,-63:41:53.1,['target'],track,1257
MSGPS_S_1034,13:32:15.12,-63:52:20.21,['target'],track,1257
MSGPS_S_1167,14:00:45.12,-62:55:26.87,['target'],track,1257
MSGPS_S_1364,14:44:23.31,-61:18:51.42,['target'],track,1257
MSGPS_S_1573,15:22:44.42,-58:38:56.48,['target'],track,1257
MSGPS_S_1804,15:58:14.87,-55:00:58.99,['target'],track,1257
MSGPS_S_1981,16:19:15.5,-51:48:42.65,['target'],track,1257
MSGPS_S_0034,10:00:59.24,-56:32:27.98,['target'],track,1257
MSGPS_S_0035,10:02:54.55,-56:25:39.82,['target'],track,1257
MSGPS_S_0036,10:03:08.97,-56:08:28.21,['target'],track,1257
MSGPS_S_0037,10:05:02.69,-56:01:32.65,['target'],track,1257
MSGPS_S_0097,10:17:44.23,-55:44:38.38,['target'],track,1257
MSGPS_S_0198,10:27:45,-59:16:09.57,['target'],track,1257
MSGPS_S_0277,10:43:32.6,-59:50:22.64,['target'],track,1257
MSGPS_S_0388,11:04:21.1,-60:48:42.8,['target'],track,1257
MSGPS_S_0477,11:24:01.59,-61:28:42.09,['target'],track,1257
MSGPS_S_0576,11:45:05.19,-62:14:22.75,['target'],track,1257
MSGPS_S_0675,12:07:04.92,-62:47:34.17,['target'],track,1257
MSGPS_S_0785,12:32:17.53,-63:08:52.03,['target'],track,1257
