Pointing,RA,DEC,Obs_time_UTC,Obs_Time_LST
MSGPS_S_0028,10:05:29.14,-55:27:07.51,2023-03-10 15:34:08,04:12:05.996100
MSGPS_S_0029,10:05:42.08,-55:09:54.81,2023-03-10 15:57:09,04:35:06.996100
MSGPS_S_0030,10:07:32.56,-55:02:50.62,2023-03-10 16:20:10,04:58:07.996100
MSGPS_S_0031,10:07:44.5,-54:45:37.16,2023-03-10 16:43:11,05:21:08.996100
MSGPS_S_0032,10:09:33.51,-54:38:26.08,2023-03-10 17:06:12,05:44:09.996100
MSGPS_S_0033,10:00:43.67,-56:49:38.56,2023-03-10 17:29:13,06:07:10.996100
MSGPS_S_0034,10:00:59.24,-56:32:27.98,2023-03-10 17:52:14,06:30:11.996100
MSGPS_S_0065,10:14:30.07,-55:08:03.1,2023-03-10 18:15:15,06:53:12.996100
MSGPS_S_0179,10:26:03.01,-58:15:10.14,2023-03-10 18:38:16,07:16:13.996100
MSGPS_S_0257,10:41:24.74,-59:07:33.22,2023-03-10 19:01:17,07:39:14.996100
MSGPS_S_0336,10:57:19.57,-59:35:34.69,2023-03-10 19:24:18,08:02:15.996100
MSGPS_S_0453,11:18:01.59,-61:45:02.01,2023-03-10 19:54:21,08:32:18.996100
MSGPS_S_0540,11:34:54.72,-62:41:06.76,2023-03-10 20:17:22,08:55:19.996100
MSGPS_S_0639,11:57:04.17,-63:20:12.19,2023-03-10 20:40:23,09:18:20.996100
MSGPS_S_0749,12:22:39.85,-63:48:01.53,2023-03-10 21:03:24,09:41:21.996100
MSGPS_S_0826,12:40:57.49,-63:57:15.28,2023-03-10 21:26:25,10:04:22.996100
MSGPS_S_0881,12:54:06.09,-63:58:34.11,2023-03-10 21:49:26,10:27:23.996100
MSGPS_S_0969,13:15:04.42,-63:51:29.74,2023-03-10 22:12:27,10:50:24.996100
MSGPS_S_1122,13:52:38.55,-63:25:06.76,2023-03-10 22:40:30,11:18:27.996100
MSGPS_S_1309,14:33:16.89,-61:53:39.19,2023-03-10 23:05:31,11:43:28.996100
MSGPS_S_0000,09:55:45.19,-56:17:56.74,2023-04-10 14:32:02,05:12:03.001950
MSGPS_S_0035,10:02:54.55,-56:25:39.82,2023-04-10 14:55:01,05:35:02.001950
MSGPS_S_0036,10:03:08.97,-56:08:28.21,2023-04-10 15:18:00,05:58:01.001950
MSGPS_S_0037,10:05:02.69,-56:01:32.65,2023-04-10 15:40:59,06:21:00.001950
MSGPS_S_0038,10:05:16.02,-55:44:20.13,2023-04-10 16:03:58,06:43:59.001950
MSGPS_S_0131,10:24:45.47,-56:04:54.43,2023-04-10 16:26:57,07:06:58.001950
MSGPS_S_0220,10:31:38.06,-59:34:01.45,2023-04-10 16:49:56,07:29:57.001950
MSGPS_S_0308,10:47:51.19,-60:41:02.24,2023-04-10 17:17:56,07:57:57.001950
MSGPS_S_0407,11:07:23.87,-61:47:08.17,2023-04-10 17:42:55,08:22:56.001950
MSGPS_S_0495,11:25:52.81,-62:36:42.08,2023-04-10 18:05:54,08:45:55.001950
MSGPS_S_0594,11:47:47.85,-63:21:04.51,2023-04-10 18:28:53,09:08:54.001950
MSGPS_S_0693,12:10:41.43,-63:52:24.42,2023-04-10 18:51:52,09:31:53.001950
MSGPS_S_0792,12:34:15.07,-64:09:54.1,2023-04-10 19:14:51,09:54:52.001950
MSGPS_S_0847,12:47:29.54,-64:13:27.17,2023-04-10 19:37:50,10:17:51.001950
MSGPS_S_0935,13:08:41.57,-64:09:52.31,2023-04-10 20:05:50,10:45:51.001950
MSGPS_S_1045,13:34:50.08,-63:49:31.34,2023-04-10 20:28:49,11:08:50.001950
MSGPS_S_1188,14:07:27.24,-62:57:50.54,2023-04-10 20:51:48,11:31:49.001950
MSGPS_S_1397,14:50:51.13,-60:56:25.01,2023-04-10 21:16:47,11:56:48.001950
MSGPS_S_1617,15:30:02.37,-58:00:22.65,2023-04-10 21:39:46,12:19:47.001950
MSGPS_S_1826,16:01:17.12,-54:38:25.14,2023-04-10 22:02:45,12:42:46.001950
MSGPS_S_0039,10:07:08.19,-55:37:17.36,2023-04-10 14:32:02,05:12:03.001950
MSGPS_S_0040,10:07:20.46,-55:20:04.02,2023-04-10 14:55:01,05:35:02.001950
MSGPS_S_0041,10:09:11.11,-55:12:54.22,2023-04-10 15:18:00,05:58:01.001950
MSGPS_S_0042,10:09:22.39,-54:55:40.17,2023-04-10 15:40:59,06:21:00.001950
MSGPS_S_0043,10:11:11.55,-54:48:23.51,2023-04-10 16:03:58,06:43:59.001950
MSGPS_S_0136,10:20:38.67,-57:30:02.63,2023-04-10 16:26:57,07:06:58.001950
MSGPS_S_0221,10:31:39.64,-59:16:42.99,2023-04-10 16:49:56,07:29:57.001950
MSGPS_S_0310,10:49:41.63,-60:14:19.42,2023-04-10 17:17:56,07:57:57.001950
MSGPS_S_0408,11:07:06.15,-61:29:57.34,2023-04-10 17:42:55,08:22:56.001950
MSGPS_S_0497,11:27:16.13,-62:08:19.07,2023-04-10 18:05:54,08:45:55.001950
MSGPS_S_0596,11:48:52.02,-62:51:59.09,2023-04-10 18:28:53,09:08:54.001950
MSGPS_S_0704,12:13:16.91,-63:55:02.76,2023-04-10 18:51:52,09:31:53.001950
MSGPS_S_0803,12:36:53.66,-64:10:58.04,2023-04-10 19:14:51,09:54:52.001950
MSGPS_S_0858,12:50:08.73,-64:13:37.73,2023-04-10 19:37:50,10:17:51.001950
MSGPS_S_0946,13:11:19.94,-64:08:37.48,2023-04-10 20:05:50,10:45:51.001950
MSGPS_S_1056,13:37:24.52,-63:46:32.26,2023-04-10 20:28:49,11:08:50.001950
MSGPS_S_1199,14:09:52.56,-62:52:44.93,2023-04-10 20:51:48,11:31:49.001950
MSGPS_S_1408,14:52:58.38,-60:48:41.18,2023-04-10 21:16:47,11:56:48.001950
MSGPS_S_1628,15:31:49.4,-57:50:30.06,2023-04-10 21:39:46,12:19:47.001950
MSGPS_S_1837,16:02:46.98,-54:27:02.02,2023-04-10 22:02:45,12:42:46.001950
MSGPS_S_0044,10:02:25.01,-57:00:02.64,2023-04-10 14:32:02,05:12:03.001950
MSGPS_S_0045,10:02:39.9,-56:42:51.3,2023-04-10 14:55:01,05:35:02.001950
MSGPS_S_0046,10:04:35.43,-56:35:57.39,2023-04-10 15:18:00,05:58:01.001950
MSGPS_S_0047,10:04:49.17,-56:18:45.08,2023-04-10 15:40:59,06:21:00.001950
MSGPS_S_0048,10:06:43.09,-56:11:43.8,2023-04-10 16:03:58,06:43:59.001950
MSGPS_S_0138,10:22:38.77,-57:04:49.88,2023-04-10 16:26:57,07:06:58.001950
MSGPS_S_0222,10:33:37.29,-59:08:10.66,2023-04-10 16:49:56,07:29:57.001950
MSGPS_S_0319,10:49:57.44,-60:48:53.23,2023-04-10 17:17:56,07:57:57.001950
MSGPS_S_0409,11:09:01.44,-61:19:29.82,2023-04-10 17:42:55,08:22:56.001950
MSGPS_S_0506,11:28:15.58,-62:42:14.72,2023-04-10 18:05:54,08:45:55.001950
MSGPS_S_0605,11:50:17.88,-63:25:13.05,2023-04-10 18:28:53,09:08:54.001950
MSGPS_S_0705,12:12:19.71,-63:38:55.86,2023-04-10 18:51:52,09:31:53.001950
MSGPS_S_0804,12:35:42.74,-63:55:29.64,2023-04-10 19:14:51,09:54:52.001950
MSGPS_S_0859,12:48:50.52,-63:58:34.38,2023-04-10 19:37:50,10:17:51.001950
MSGPS_S_0947,13:09:50.96,-63:54:19.09,2023-04-10 20:05:50,10:45:51.001950
MSGPS_S_1067,13:39:58.4,-63:43:23.03,2023-04-10 20:28:49,11:08:50.001950
MSGPS_S_1210,14:12:17.05,-62:47:30.14,2023-04-10 20:51:48,11:31:49.001950
MSGPS_S_1419,14:55:04.6,-60:40:50.01,2023-04-10 21:16:47,11:56:48.001950
MSGPS_S_1639,15:33:35.46,-57:40:31.99,2023-04-10 21:39:46,12:19:47.001950
MSGPS_S_1848,16:04:16.03,-54:15:34.86,2023-04-10 22:02:45,12:42:46.001950
MSGPS_S_0049,10:06:55.73,-55:54:30.62,2023-04-10 14:32:02,05:12:03.001950
