Pointing,RA,DEC,Rise_time_sidereal_20_deg,Set_time_sidereal_20_deg,Obs_type,Priority
3C286,13:31:08.2879,+30:30:32.958,11:33:22.24586374,15:45:45.58773427,Pol_Cal,1
3C138,05:21:09.886021,+16:38:22.05122,1:55:51.17977728,8:44:43.91813428,Pol_Cal,1
