Pointing,RA,DEC,Rise_time_sidereal_20_deg,Set_time_sidereal_20_deg,Obs_type,Priority
J1939-6342,19:39:25.0264,-63:42:45.625,12:31:52.60098677,2:52:02.82881586,fluxcal,1
J0408-6545,04:08:20.3782,-65:45:09.08,20:46:07.89330082,11:26:41.92175,fluxcal,1
