Pointing,RA,DEC,Obs_time_UTC,Obs_Time_LST
MSGPS_S_0000,09:55:45.19,-56:17:56.74,2023-02-16 17:06:32,04:18:00.005110
MSGPS_S_0001,09:56:02.73,-56:00:48.59,2023-02-16 17:34:29,04:45:57.005110
MSGPS_S_0002,09:57:57.3,-55:54:17.39,2023-02-16 18:02:26,05:13:54.005110
MSGPS_S_0003,09:58:13.69,-55:37:08.06,2023-02-16 18:30:23,05:41:51.005110
MSGPS_S_0004,10:00:06.75,-55:30:29.37,2023-02-16 18:58:20,06:09:48.005110
MSGPS_S_0005,10:00:22.03,-55:13:18.99,2023-02-16 19:26:17,06:37:45.005110
MSGPS_S_0127,10:20:51.83,-56:55:28.19,2023-02-16 19:54:14,07:05:42.005110
MSGPS_S_0231,10:33:36.12,-59:42:47.73,2023-02-16 20:22:11,07:33:39.005110
